Date,Region,Product Category,Sales Amount (USD),Revenue (USD),Customer ID,Marketing Channel
2022-02-05,East,Apparel,1002,6958,IZB8R,Email
2021-06-10,East,Furniture,6321,8350,ZCUWB,Email
2022-06-11,North,Apparel,4756,3852,CT3SR,Online Ads
2022-02-24,East,Electronics,5847,5744,QCZ20,Direct Mail
2022-09-09,North,Apparel,9572,5010,VKY0N,Email
2021-01-04,West,Apparel,3266,8492,B0LR9,Social Media
2023-11-28,North,Electronics,5856,6539,D6ACK,Online Ads
2021-09-02,North,Toys,1145,7444,JE5EC,Direct Mail
2021-08-03,South,Furniture,2501,7299,QK7PD,Email
2020-06-17,West,Toys,7801,4081,BXEWD,Social Media
2023-05-28,West,Toys,5481,8820,FLVSN,Email
2022-07-07,East,Furniture,4660,5667,GLZ9A,Email
2021-05-04,North,Toys,3398,7696,JOB4H,Direct Mail
2021-07-21,East,Electronics,3700,1708,3YQ50,Social Media
2023-07-10,East,Toys,6773,4284,62B0W,Online Ads
2020-12-02,East,Furniture,9950,3584,PC32F,Social Media
2023-09-06,East,Electronics,9310,2456,SVKDG,Social Media
2022-08-03,East,Toys,3420,6614,6QI62,Social Media
2021-06-18,North,Electronics,6104,3554,OD9DT,Social Media
2020-02-15,West,Toys,2168,6114,M4GE2,Social Media
2020-08-02,West,Toys,1847,1993,6X0R6,Social Media
2020-09-01,North,Furniture,6119,7167,0G6AC,Online Ads
2022-08-10,East,Furniture,3556,4089,Z7LP9,Online Ads
2022-09-22,East,Electronics,1927,4020,5IP2B,Social Media
